Title,Description,URL,Published At,Source
Pro Display XDR 2 Expected to Feature Quantum-Dot Technology,"In a blog post this week, Display Supply Chain Consultants CEO Ross Young said that he expects Apple's next-generation Pro Display XDR to feature the same quantum-dot display technology adopted by the latest MacBook Pro models.





It is unclear if Young con…",https://www.macrumors.com/2024/11/19/pro-display-xdr-2-quantom-dot-rumor/,2024-11-19T16:11:57Z,MacRumors
"iPhone SE 4 Said to Feature 48MP Rear Lens, 12MP TrueDepth Camera","Apple's forthcoming iPhone SE 4 will feature a single 48-megapixel rear camera and a 12-megapixel TrueDepth camera on the front, according to details revealed in a new Korean supply chain report.





ET News reports that Korea-based LG Innotek is the main su…",https://www.macrumors.com/2024/12/09/iphone-se-4-camera-details-revealed/,2024-12-09T12:48:44Z,MacRumors
China encourages local orgs to seek alternatives to US silicon,"Which could be in short supply as Beijing bans rare earth exports
Four of China's top industry bodies have published advice suggesting members source fewer semiconductors from US silicon slingers, because supply chain issues caused by sanctions mean they are …",https://www.theregister.com/2024/12/05/china_stop_buying_us_chips_advice/,2024-12-05T05:37:59Z,Theregister.com
The M4 MacBook Pro Might Be Hiding a Significant Screen Upgrade,"The M4 MacBook Pro models may be featuring quantum dot technology, though the jury is still out on whether these displays are truly better than before.",https://gizmodo.com/the-m4-macbook-pro-might-be-hiding-a-significant-screen-upgrade-2000524997,2024-11-15T15:02:10Z,Gizmodo.com
Apple's future product lineup is starting to come into focus,"Apple appears to be evolving its hardware lineup with new smart home devices, wearables, and more.",https://www.businessinsider.com/apple-future-product-lineup-starting-to-come-into-focus-2024-11,2024-11-14T20:12:15Z,Business Insider
Here's what analysts are saying about Nvidia earnings,"Nvidia beat forecasts again in its third-quarter results, but one analyst says investors are concerned about a possible slowdown in future growth.",https://www.businessinsider.com/nvidia-earnings-analyst-comment-revenue-profits-blackwell-chips-wedbush-2024-11,2024-11-21T13:13:56Z,Business Insider
AI Giant Nvidia Braces for Potential $292 Billion Market Shock Post-Earnings,"Nvidia earnings could trigger an 8.5% move, implying a $292 billion market cap swing amid AI sector scrutiny",https://finance.yahoo.com/news/ai-giant-nvidia-braces-potential-162545611.html,2024-11-19T16:25:45Z,Yahoo Entertainment
How Brazil Recycling Co-ops Are Helping Turn Plastic Waste Into Shoes,Sneaker brand Veja has teamed up with recycling waste workers in Brazil to breathe new life into plastic waste.,https://time.com/7198461/brazil-recycling-co-ops-helping-turn-plastic-waste-into-shoes-veja/,2024-11-27T17:07:39Z,Time
"Boeing has finally started producing the 737 Max again, almost a month after the end of its massive strike",Boeing restarting production of the 737 Max is a major step as it seeks to rebuild customer trust after several tough years.,https://www.businessinsider.com/boeing-finally-restarts-737-max-production-nearly-month-after-strike-2024-12,2024-12-10T10:58:25Z,Business Insider
25% tariff on imports? Consumers doomed?,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/25-percent-tariff-on-imports-consumers-doomed,2024-11-29T19:53:47Z,Autoblog
Trump’s proposed tariffs could reshape the auto industry,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/trumps-proposed-tariffs-could-reshape-the-auto-industry,2024-11-29T19:53:47Z,Autoblog
Will Republicans continue to support subsidies for the chip industry? | PwC interview,The Chips & Science Act was a bipartisan law passed to give $52 billion to the U.S. semiconductor industry. Will Republicans stand behind it?,https://venturebeat.com/ai/will-republicans-continue-to-support-subsidies-for-the-chip-industry-pwc-interview/,2024-11-21T14:30:00Z,VentureBeat
"From clothes to computers, 6 things expected to get more expensive if Trump's trade plans are enacted",Crocs and American Eagle are two of the brands Bank of America predicted to see price hikes if Trump's tariff proposals are implemented.,https://www.businessinsider.com/how-trump-tariffs-will-impact-prices-technology-clothes-appliances-furniture-2024-11,2024-11-15T09:04:01Z,Business Insider
"Exclusive-Boeing restarts 737 MAX production a month after strike ended, sources say","Boeing restarted production of its best-selling 737 MAX jetliner last week, about a month after the end of a seven-week strike by 33,000 factory workers...",https://ca.finance.yahoo.com/news/exclusive-boeing-restarts-737-max-042953153.html,2024-12-10T04:29:53Z,Yahoo Entertainment
"Major iPhone 17 Pro Redesign Backed by Supply Chain Info, Claims Leaker","Next year's iPhone 17 Pro models will reportedly feature a major redesign, specifically centering around changes to the rear camera module, and now new supply chain information appears to confirm the striking change, according to a Chinese leaker.



iPhone 1…",https://www.macrumors.com/2024/12/12/iphone-17-pro-redesign-backed-by-supply-chain-info/,2024-12-12T12:36:39Z,MacRumors
Politecnico di Torino spotlights eight student architecture projects,Dezeen School Shows: a bike path which repurposes a railway to celebrate local food supply chains is included in Dezeen's latest school show by students at Politecnico di Torino. Read more,https://www.dezeen.com/2024/11/14/politecnico-di-torino-architecture-projects-dezeen-schoolshows/,2024-11-14T17:00:15Z,Dezeen
"Elon Musk said he will launch a leaderboard to track 'insanely dumb' government spending, and business leaders are weighing in",Elon Musk will co-lead the Department of Government Efficiency and has already started crowdsourcing suggestions for cuts online.,https://www.businessinsider.com/elon-musk-doge-leaderboard-federal-government-spending-trump-2024-11,2024-11-13T17:07:27Z,Business Insider
The Galaxy Z Fold 7 and Flip 7 are set to get significant display upgrades,Next year's Samsung foldable phones could feature bigger displays. How much bigger? Quite a lot!,https://www.digitaltrends.com/mobile/samsung-galaxy-z-fold-7-z-flip-7-set-to-get-significant-display-upgrades/,2024-12-03T15:40:10Z,Digital Trends
"Trump's proposed tariffs would raise prices for these products, experts say","“This will directly impact people’s pocketbooks,” one expert said.",https://abcnews.go.com/Business/trumps-proposed-tariffs-raise-prices-products-experts/story?id=115893557,2024-11-18T20:59:29Z,ABC News
From hours to seconds: A short demo on parallel computing shows why Nvidia is the world's most valuable company,"Parallel computing is the fundamental concept that, along with advanced semiconductors, has ushered in the generative AI boom.",https://www.businessinsider.com/nvidia-gpus-cpus-parallel-computing-2024-11,2024-11-15T09:00:02Z,Business Insider
Weak shipbuilding could be the US Navy's Achilles' heel in a war with China,"A hollowed out industrial base, which the Navy depends on, could spell trouble for the sea service in a high-end conflict in the Pacific.",https://www.businessinsider.com/us-shipbuilding-problems-could-be-navys-achilles-heel-china-war-2024-11,2024-11-17T09:00:02Z,Business Insider
Where Costco Rotisserie Chickens Really Come From,Costco's reasonably priced rotisserie chickens are one of the grocery chain's most popular items. We did some digging into where they're sourced.,https://www.thedailymeal.com/1710233/how-costco-raises-chickens-rotisserie/,2024-11-17T14:15:25Z,The Daily Meal
2025: The year ‘invisible’ AI agents will integrate into enterprise hierarchies,"Ultimately, AI agents will be able to perceive (process and interpret data), plan, act (with or without a human in the loop), reflect, learn from feedback and improve over time.",https://venturebeat.com/ai/2025-the-year-invisible-ai-agents-will-integrate-into-enterprise-hierarchies/,2024-11-14T17:00:00Z,VentureBeat
Electric Cargo Bikes Made from Discarded Bike Frames,"These electric cargo bikes, by Arkansas-based Gnargo Bike Co., are made from discarded steel bike frames. ""After an environmentally friendly burn-off of existing finishes and oils, frames are fully sandblasted and brought back into our factory for quality che…",https://www.core77.com/posts/134563/Electric-Cargo-Bikes-Made-from-Discarded-Bike-Frames,2024-12-05T16:00:00Z,Core77.com
Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html,2024-11-25T20:17:34Z,Yahoo Entertainment
"YoY Measures of Inflation: Services, Goods and Shelter",,https://www.blogger.com/comment/fullpage/post/10004977/7678712026410882889,2024-11-13T13:52:00Z,Blogger.com
